firstname;lastname;email;attribute_1;attribute_2;attribute_3;major;major[other];semester;language[a1];language[a2];iOSDev;appStoreLink;iOSDevExplained;introAssessment[INTRO];devices[iPad];devices[iPhone];devices[iPod];devices[Watch];devices[Mac];expinterWEBFE[expinter][1];expinterWEBFE[expinter][2];justifyWEBFE;expinterSSDEV[expinter][1];expinterSSDEV[expinter][2];justifySSDEV;expinterEMBED[expinter][1];expinterEMBED[expinter][2];justifyEMBED;expinterVRAR[expinter][1];expinterVRAR[expinter][2];justifyVRAR;expinterMLALG[expinter][1];expinterMLALG[expinter][2];justifyMLALG;expinterUIUX[expinter][1];expinterUIUX[expinter][2];justifyUIUX;otherSkills;Priorities[1];Priorities[2];Priorities[3];Priorities[4];Priorities[5];Priorities[6];Priorities[7];Priorities[8];Priorities[9];Priorities[10];Priorities[11];Comments;supervisorRating;CommentsTutor;teamName
Vorname 1;Nachname 1;vorname.nachname@1;no;tum_id_1;male;MSc Informatics;;1;Native;C1/C2;I have no experience in Apple platform development other than the intro course.;;;hardly challenging;No;No;No;No;Yes;expert skills;extremely interested;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur rid";expert skills;high interest;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";expert skills skills;extremely interested;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p";advanced skills;extremely interested;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis p";expert skills skills;average interest;"Lorem ipsum dolor sit amet; consectetuer adipiscin";average skills;extremely interested;;;iHaus;ALLZ;MED;IMT;BSH;BMW;QUAR;TSYS;ZF FH;McKIN;LMU;;Advanced;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";NO_TEAM
Vorname 2;Nachname 2;vorname.nachname@2;no;tum_id_2;female;BSc Informatics;;7;Native;C1/C2;I have no experience in Apple platform development other than the intro course.;;;very challenging;No;No;No;No;No;no skills;extremely interested;;expert skills;average interest;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";average skills;hardly interested;;average skills;average interest;;beginner skills;not interested at all;;no skills;hardly interested;;;LMU;ZF FH;McKIN;BMW;ALLZ;TSYS;iHaus;QUAR;BSH;IMT;MED;;Novice;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";NO_TEAM
Vorname 3;Nachname 3;vorname.nachname@3;no;tum_id_3;male;MSc Informatics;;4;Native;B1/B2;"I was involved in the development of a native Apple application; but I had another role than developer (e.g. tester).";https://itunes.apple.com/us/app/xcode/id497799835?mt=12;In 2011/12 I developed an app to control and visualize a home heating system for a little company.;medium challenging;No;No;No;No;Yes;average skills;extremely interested;;expert skills;hardly interested;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";no skills;hardly interested;;beginner skills;not interested at all;;beginner skills;hardly interested;;beginner skills;hardly interested;;;BMW;iHaus;ZF FH;IMT;MED;LMU;QUAR;TSYS;McKIN;BSH;ALLZ;;Normal;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";NO_TEAM
Vorname 4;Nachname 4;vorname.nachname@4;no;tum_id_4;male;MSc Informatics;;3;Native;C1/C2;I have been an active developer for a native Apple application.;https://itunes.apple.com/us/app/xcode/id497799835?mt=12;"Working on mobile Games; so I only developed an iOS App; but without ever writing Swift Code. We use the engine Unity; which is using C# as a scripting language. So I don't really know how that counts; or what I should tick";hardly challenging;No;No;No;No;Yes;advanced skills;extremely interested;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur rid";expert skills;average interest;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";beginner skills;average interest;;average skills;hardly interested;;expert skills skills;average interest;"Lorem ipsum dolor sit amet; consectetuer adipiscin";average skills;extremely interested;;;ZF FH;IMT;MED;iHaus;BMW;BSH;LMU;QUAR;TSYS;ALLZ;McKIN;;Advanced;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";NO_TEAM
Vorname 5;Nachname 5;vorname.nachname@5;no;tum_id_5;male;BSc Informatics;;5;C1/C2;C1/C2;I have no experience in Apple platform development other than the intro course.;https://itunes.apple.com/us/app/xcode/id497799835?mt=12;;very challenging;Yes;Yes;No;No;Yes;beginner skills;extremely interested;;expert skills;hardly interested;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";beginner skills;average interest;;beginner skills;hardly interested;;average skills;hardly interested;;beginner skills;average interest;;;QUAR;BMW;ALLZ;iHaus;ZF FH;McKIN;BSH;MED;IMT;TSYS;LMU;;Novice;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";NO_TEAM
Vorname 6;Nachname 6;vorname.nachname@6;no;tum_id_6;male;BSc Information Systems;;5;Native;C1/C2;I have no experience in Apple platform development other than the intro course.;https://itunes.apple.com/us/app/xcode/id497799835?mt=12;;medium challenging;Yes;Yes;No;No;Yes;no skills;high interest;;advanced skills;not interested at all;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";no skills;high interest;;no skills;not interested at all;;advanced skills;average interest;"Lorem ipsum dolor sit amet; consectetuer adipiscin";average skills;high interest;;;QUAR;iHaus;ALLZ;BSH;IMT;MED;BMW;TSYS;McKIN;ZF FH;LMU;;Normal;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";NO_TEAM
Vorname 7;Nachname 7;vorname.nachname@7;no;tum_id_7;male;MSc Informatics;;6;A1/A2;C1/C2;I have no experience in Apple platform development other than the intro course.;https://itunes.apple.com/us/app/xcode/id497799835?mt=12;;medium challenging;Yes;No;No;No;Yes;advanced skills;extremely interested;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur rid";expert skills;not interested at all;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";average skills;high interest;;no skills;average interest;;advanced skills;average interest;"Lorem ipsum dolor sit amet; consectetuer adipiscin";average skills;high interest;;I would live to start working in Ipraktikum.;ALLZ;McKIN;ZF FH;BSH;iHaus;MED;QUAR;IMT;BMW;TSYS;LMU;I would live to start working in Ipraktikum.;Normal;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";NO_TEAM
Vorname 8;Nachname 8;vorname.nachname@8;no;tum_id_8;male;BSc Informatics;;5;Native;C1/C2;I have no experience in Apple platform development other than the intro course.;https://itunes.apple.com/us/app/xcode/id497799835?mt=12;;medium challenging;No;No;No;No;No;advanced skills;extremely interested;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur rid";expert skills;not interested at all;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";beginner skills;hardly interested;;no skills;hardly interested;;average skills;average interest;;average skills;average interest;;;ALLZ;McKIN;iHaus;BSH;QUAR;ZF FH;IMT;MED;BMW;LMU;TSYS;;Normal;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";NO_TEAM
Vorname 9;Nachname 9;vorname.nachname@9;no;tum_id_9;male;Other;MSE Bachelor;6;Native;C1/C2;I have no experience in Apple platform development other than the intro course.;https://itunes.apple.com/us/app/xcode/id497799835?mt=12;;very challenging;Yes;Yes;No;No;Yes;beginner skills;hardly interested;;beginner skills;not interested at all;;average skills;hardly interested;;no skills;average interest;;beginner skills;hardly interested;;beginner skills;hardly interested;;;ZF FH;BSH;McKIN;QUAR;MED;ALLZ;TSYS;iHaus;IMT;BMW;LMU;;Novice;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";NO_TEAM
Vorname 10;Nachname 10;vorname.nachname@10;no;tum_id_10;male;BSc Information Systems;;5;Native;C1/C2;I have no experience in Apple platform development other than the intro course.;https://itunes.apple.com/us/app/xcode/id497799835?mt=12;;medium challenging;No;No;No;No;Yes;average skills;high interest;;advanced skills;not interested at all;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";no skills;average interest;;no skills;not interested at all;;advanced skills;average interest;"Lorem ipsum dolor sit amet; consectetuer adipiscin";average skills;high interest;;;QUAR;BSH;ALLZ;BMW;McKIN;IMT;iHaus;MED;ZF FH;TSYS;LMU;;Normal;"Lorem ipsum dolor sit amet; consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes; nascetur ridiculus mus. Donec qu";NO_TEAM
