firstName,lastName,email,gender,id,semester,studyDegree,studyProgram,skillLevel,language[de],language[en],nationality,projectPreference[iHaus],projectPreference[ALLZ],projectPreference[MED],projectPreference[IMT],projectPreference[BSH],projectPreference[BMW],projectPreference[QUAR],projectPreference[TSYS],projectPreference[McKIN],projectPreference[LMU],skill[Machine Learning],skill[Server-side development],skill[Web Development],skill[Cloud infrastructure],"skill[Docker, Kubernetes]",skill[Games Engineering],skill[UI/UX],device[IPhone],device[Mac],device[IPad],device[Watch]
Mary,Evans,mary.evans@example.com,Female,id_1,6,Bachelor,Computer Science,Intermediate,Native,B1/B2,ER,2,0,9,8,7,3,6,1,4,5,Novice,Intermediate,Novice,Advanced,Novice,Intermediate,Intermediate,true,false,false,false
Monica,Cordova,monica.cordova@example.com,Female,id_2,5,Bachelor,Computer Science,Intermediate,B1/B2,C1/C2,DE,5,0,1,2,4,8,9,3,6,7,Advanced,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,true,true,true,false
Anthony,Hodge,anthony.hodge@example.com,Male,id_3,4,Bachelor,Computer Science,Intermediate,C1/C2,C1/C2,SA,0,1,4,5,3,7,6,8,9,2,Intermediate,Intermediate,Intermediate,Novice,Intermediate,Intermediate,Intermediate,true,false,true,false
Christopher,Parker,christopher.parker@example.com,Female,id_4,3,Bachelor,Information Systems,Intermediate,C1/C2,B1/B2,TT,9,3,2,8,5,1,0,4,6,7,Intermediate,Intermediate,Intermediate,Intermediate,Advanced,Advanced,Novice,true,false,false,false
Dylan,Trujillo,dylan.trujillo@example.com,Female,id_5,5,Bachelor,Information Systems,Intermediate,Native,Native,DE,5,9,0,2,6,8,1,4,7,3,Intermediate,Expert,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,true,true,false,false
David,Morrison,david.morrison@example.com,Female,id_6,1,Bachelor,Computer Science,Advanced,C1/C2,Native,DE,9,4,3,6,0,8,1,2,7,5,Intermediate,Intermediate,Intermediate,Intermediate,Novice,Intermediate,Intermediate,false,true,false,true
Paula,Green,paula.green@example.com,Female,id_7,4,Bachelor,Information Systems,Intermediate,C1/C2,Native,TZ,7,8,0,6,5,3,9,1,2,4,Intermediate,Advanced,Intermediate,Advanced,Intermediate,Intermediate,Intermediate,false,false,false,true
Timothy,Meyers,timothy.meyers@example.com,Male,id_8,3,Bachelor,Information Systems,Intermediate,C1/C2,Native,NP,9,2,5,4,0,1,6,7,3,8,Intermediate,Intermediate,Intermediate,Intermediate,Advanced,Expert,Intermediate,false,false,true,false
Emily,Smith,emily.smith@example.com,Male,id_9,4,Master,Computer Science,Advanced,Native,C1/C2,DE,6,4,8,2,3,9,1,5,7,0,Intermediate,Intermediate,Intermediate,Intermediate,Advanced,Novice,Novice,false,true,false,true
Lindsay,Michael,lindsay.michael@example.com,Male,id_10,1,Master,Computer Science,Intermediate,C1/C2,B1/B2,MC,1,9,2,7,6,5,0,4,3,8,Intermediate,Expert,Novice,Intermediate,Intermediate,Expert,Intermediate,false,false,false,false
Richard,Leonard,richard.leonard@example.com,Female,id_11,2,Bachelor,Computer Science,Advanced,C1/C2,Native,PT,1,3,5,4,2,6,7,8,9,0,Novice,Intermediate,Intermediate,Intermediate,Intermediate,Novice,Intermediate,false,false,true,true
Cindy,Perez,cindy.perez@example.com,Female,id_12,2,Bachelor,Information Systems,Intermediate,Native,Native,RU,6,5,4,8,0,7,3,9,1,2,Intermediate,Novice,Intermediate,Intermediate,Intermediate,Intermediate,Novice,false,false,false,false
Andrew,Hunter,andrew.hunter@example.com,Male,id_13,5,Bachelor,Information Systems,Intermediate,C1/C2,Native,CG,1,0,3,6,7,5,2,4,9,8,Intermediate,Novice,Advanced,Intermediate,Intermediate,Intermediate,Intermediate,false,true,true,false
